Date,SPY,AAPL,NVDA,TLT
2020-01-02,297.698974609375,72.40052795410156,5.9707536697387695,114.62267303466797
2020-01-03,295.4447021484375,71.69661712646484,5.87518835067749,116.38792419433594
2020-01-06,296.5718994140625,72.26792907714844,5.8998236656188965,115.72703552246094
2020-01-07,295.7380065917969,71.92805480957031,5.971251487731934,115.15811920166016
2020-01-08,297.31414794921875,73.0851058959961,5.98245096206665,114.39676666259766
2020-01-09,299.3301086425781,74.63748168945312,6.048155307769775,114.79837799072266
2020-01-10,298.46875,74.80622863769531,6.080509185791016,115.81900024414062
2020-01-13,300.52142333984375,76.40443420410156,6.27114725112915,115.4676513671875
2020-01-14,300.0632019042969,75.37271881103516,6.154174327850342,116.06159210205078
2020-01-15,300.7413024902344,75.0497055053711,6.111617088317871,116.83129119873047
2020-01-16,303.2430419921875,75.98980712890625,6.195239543914795,116.46324157714844
2020-01-17,304.1868896484375,76.83109283447266,6.203949451446533,115.4676513671875
2020-01-21,303.5911865234375,76.3104248046875,6.1706013679504395,116.68069458007812
2020-01-22,303.6278076171875,76.58280181884766,6.224606037139893,117.09071350097656
2020-01-23,303.97601318359375,76.95162200927734,6.2930474281311035,117.91050720214844
2020-01-24,301.27276611328125,76.72984313964844,6.233814716339111,118.86426544189453
2020-01-27,296.4435729980469,74.47357940673828,5.97797155380249,120.71314239501953
2020-01-28,299.550048828125,76.58039855957031,6.171347141265869,119.76780700683594
2020-01-29,299.3026428222656,78.18341064453125,6.110871315002441,120.93902587890625
2020-01-30,300.2739562988281,78.07012939453125,6.117589950561523,120.95572662353516
2020-01-31,294.8216247558594,74.60857391357422,5.884146213531494,122.06006622314453
2020-02-03,297.0117492675781,74.40367889404297,5.981207370758057,121.96116638183594
2020-02-04,301.53857421875,76.8600082397461,6.150442600250244,120.3187026977539
2020-02-05,305.02069091796875,77.48674011230469,6.24078369140625,119.00308227539062
2020-02-06,306.0471496582031,78.39311981201172,6.327639579772949,119.53939819335938
2020-02-07,304.41595458984375,77.32756042480469,6.261440277099609,121.03099822998047
2020-02-10,306.6885070800781,77.69479370117188,6.54465913772583,121.36619567871094
2020-02-11,307.219970703125,77.22603607177734,6.667104721069336,120.75440979003906
2020-02-12,309.1993408203125,79.05998229980469,6.782832145690918,120.14276885986328
2020-02-13,308.8694152832031,78.49700164794922,6.739031791687012,120.60362243652344
2020-02-14,309.3642578125,78.5163345336914,7.212141513824463,121.13157653808594
2020-02-18,308.5671081542969,77.07866668701172,7.380880832672119,121.96116638183594
2020-02-19,310.04241943359375,78.19497680664062,7.832089424133301,121.95276641845703
2020-02-20,308.7686767578125,77.39279174804688,7.682764053344727,122.9081039428711
2020-02-21,305.5888977050781,75.6409912109375,7.318661212921143,124.0561294555664
2020-02-24,295.4539794921875,72.0479965209961,6.801249980926514,125.90814208984375
2020-02-25,286.5010681152344,69.60758209228516,6.521761894226074,126.57855224609375
2020-02-26,285.4471740722656,70.7118148803711,6.661134719848633,125.90814208984375
2020-02-27,272.62725830078125,66.08950805664062,6.290337562561035,127.27407836914062
2020-02-28,271.4818420410156,66.05084228515625,6.725381851196289,130.14833068847656
2020-03-02,283.2388610839844,72.20023345947266,6.883761405944824,129.19076538085938
2020-03-03,275.1289367675781,69.9072036743164,6.621288776397705,131.19651794433594
2020-03-04,286.69342041015625,73.14983367919922,7.0849714279174805,129.80337524414062
2020-03-05,277.1632385253906,70.77705383300781,6.80556583404541,133.03443908691406
2020-03-06,272.5814514160156,69.83714294433594,6.625025272369385,139.95806884765625
2020-03-09,251.2943115234375,64.31356048583984,6.11203670501709,143.7514190673828
2020-03-10,264.2976379394531,68.94554138183594,6.501508712768555,136.38296508789062
2020-03-11,251.41339111328125,66.55101776123047,6.137685775756836,131.36434936523438
2020-03-12,227.3589630126953,59.978797912597656,5.386631011962891,132.17837524414062
2020-03-13,246.7950439453125,67.16474914550781,5.997485160827637,129.19076538085938
2020-03-16,219.78977966308594,58.52421188354492,4.890823841094971,137.55792236328125
2020-03-17,231.6566619873047,61.097530364990234,5.410537242889404,128.3850860595703
2020-03-18,219.92718505859375,59.601863861083984,5.050696849822998,121.14260864257812
2020-03-19,220.39454650878906,59.14518737792969,5.303455829620361,124.44075012207031
2020-03-20,210.89682006835938,55.39032745361328,5.123661518096924,133.7981414794922
2020-03-23,205.50460815429688,54.21360397338867,5.296483039855957,139.31192016601562
2020-03-24,224.12396240234375,59.65260696411133,6.205170631408691,136.71865844726562
2020-03-25,227.4791259765625,59.323997497558594,6.116517543792725,136.4081268310547
2020-03-26,240.7615966796875,62.44580841064453,6.405885219573975,137.07955932617188
2020-03-27,233.59034729003906,59.86040496826172,6.293573379516602,140.73861694335938
2020-03-30,241.17642211914062,61.56869125366211,6.613819122314453,139.58038330078125
2020-03-31,237.58154296875,61.44304656982422,6.564263820648193,138.44747924804688
2020-04-01,226.88929748535156,58.210105895996094,6.0530171394348145,140.3872833251953
2020-04-02,232.12477111816406,59.181427001953125,6.361806392669678,141.2781219482422
2020-04-03,228.76962280273438,58.330909729003906,6.0739359855651855,141.6142120361328
2020-04-06,244.13522338867188,63.419559478759766,6.683794021606445,141.2444305419922
2020-04-07,244.384033203125,62.68500900268555,6.450457572937012,139.76531982421875
2020-04-08,252.58766174316406,64.28939056396484,6.647685527801514,138.7483673095703
2020-04-09,256.4314270019531,64.75330352783203,6.548076629638672,139.00045776367188
2020-04-13,254.0901641845703,66.02428436279297,6.719903469085693,137.73147583007812
2020-04-14,261.583984375,69.35872650146484,7.071025371551514,137.69776916503906
2020-04-15,256.0257263183594,68.72564697265625,6.993578910827637,141.34535217285156
2020-04-16,257.2609558105469,69.27171325683594,7.338726043701172,142.9505157470703
2020-04-17,264.2109069824219,68.33177947998047,7.279458045959473,141.03427124023438
2020-04-20,259.5561218261719,66.91343688964844,7.148223876953125,142.1690216064453
2020-04-21,251.67515563964844,64.84513854980469,6.711436748504639,143.9590606689453
2020-04-22,257.2609558105469,66.7129135131836,7.125811576843262,142.48828125
2020-04-23,257.2425231933594,66.45438385009766,7.0725202560424805,143.2447509765625
2020-04-24,260.8280944824219,68.37289428710938,7.2114739418029785,143.5809326171875
2020-04-27,264.5888366699219,68.42121124267578,7.397993087768555,140.90830993652344
2020-04-28,263.3722229003906,67.31214904785156,7.255552291870117,142.53036499023438
2020-04-29,270.2668762207031,69.52304077148438,7.43235969543457,141.79074096679688
2020-04-30,267.75048828125,70.98969268798828,7.278463363647461,140.13507080078125
2020-05-01,260.66217041015625,69.84680938720703,7.041889190673828,141.3350830078125
2020-05-04,261.3812255859375,70.83506774902344,7.253808498382568,140.67027282714844
2020-05-05,263.79620361328125,71.89820098876953,7.314819812774658,139.76991271972656
2020-05-06,262.0079650878906,72.6399917602539,7.415674686431885,137.5145263671875
2020-05-07,265.169677734375,73.39144897460938,7.591982364654541,139.8119659423828
2020-05-08,269.5570983886719,75.13829803466797,7.781989097595215,137.994140625
2020-05-11,269.6123962402344,76.32064056396484,8.034002304077148,136.91702270507812
2020-05-12,264.2386169433594,75.44841003417969,7.772025108337402,138.3224334716797
2020-05-13,259.56536865234375,74.53743743896484,7.74961519241333,139.29025268554688
2020-05-14,262.671630859375,74.995361328125,7.999137878417969,140.6534423828125
2020-05-15,263.879150390625,74.55196380615234,8.45759105682373,140.29159545898438
2020-05-18,271.9167785644531,76.30850982666016,8.71607494354248,137.2116241455078
2020-05-19,269.12396240234375,75.8675537109375,8.77110767364502,137.72496032714844
2020-05-20,273.6957702636719,77.34305572509766,8.934966087341309,138.13726806640625
2020-05-21,271.8062438964844,76.76641845703125,8.740981101989746,138.48228454589844
2020-05-22,272.3223876953125,77.26066589355469,8.990999221801758,139.3154296875
2020-05-26,275.6776123046875,76.7373275756836,8.68370246887207,137.44720458984375
2020-05-27,279.77935791015625,77.07168579101562,8.491955757141113,137.19480895996094
2020-05-28,279.26318359375,77.10559844970703,8.45385456085205,136.68983459472656
2020-05-29,280.5075988769531,77.03050994873047,8.840835571289062,137.66598510742188
2020-06-01,281.64129638671875,77.9778060913086,8.771856307983398,136.7390899658203
2020-06-02,283.9732971191406,78.33881378173828,8.790785789489746,136.241943359375
2020-06-03,287.7525634765625,78.77005767822266,8.735251426696777,134.4303741455078
2020-06-04,286.99658203125,78.09169006347656,8.736246109008789,132.48399353027344
2020-06-05,294.3521728515625,80.31581115722656,8.8892183303833,131.54026794433594
2020-06-08,297.9102478027344,80.79067993164062,8.774614334106445,132.0458221435547
2020-06-09,295.6888427734375,83.34191131591797,9.014782905578613,133.54563903808594
2020-06-10,294.038818359375,85.48607635498047,9.334426879882812,135.52577209472656
2020-06-11,277.0877990722656,81.3818359375,8.76589584350586,138.0873260498047
2020-06-12,280.4061279296875,82.08445739746094,8.9016752243042,136.75601196289062
2020-06-15,283.0240173339844,83.0996322631836,9.142090797424316,136.8318634033203
2020-06-16,288.4714660644531,85.30194091796875,9.037203788757324,134.73373413085938
2020-06-17,287.273193359375,85.18321990966797,9.204126358032227,135.28985595703125
2020-06-18,287.38385009765625,85.21714782714844,9.18619155883789,136.7222442626953
2020-06-19,285.741455078125,84.73015594482422,9.229290008544922,136.8318634033203
2020-06-22,287.57440185546875,86.94701385498047,9.49387264251709,136.8487091064453
2020-06-23,288.8984069824219,88.80289459228516,9.417387962341309,135.91342163085938
2020-06-24,281.5289306640625,87.23532104492188,9.203630447387695,137.3711395263672
2020-06-25,284.5472106933594,88.39342498779297,9.45725154876709,137.76715087890625
2020-06-26,277.7886657714844,85.67747497558594,9.123407363891602,139.24179077148438
2020-06-29,281.87158203125,87.65204620361328,9.168251991271973,138.8035888671875
2020-06-30,285.4822082519531,88.38372039794922,9.464974403381348,138.12948608398438
2020-07-01,287.4819030761719,88.21656799316406,9.497115135192871,137.8612060546875
2020-07-02,289.0650634765625,88.21656799316406,9.579080581665039,138.00460815429688
2020-07-06,293.5273742675781,90.57638549804688,9.805293083190918,137.4394073486328
2020-07-07,290.5000305175781,90.29533386230469,9.83768367767334,139.37123107910156
2020-07-08,292.7220153808594,92.39833068847656,10.180746078491211,138.8144073486328
2020-07-09,291.05560302734375,92.79566955566406,10.472732543945312,141.02467346191406
2020-07-10,294.0273742675781,92.95800018310547,10.443083763122559,140.31610107421875
2020-07-13,291.4814147949219,92.52914428710938,10.017560958862305,140.7801055908203
2020-07-14,295.2587585449219,94.06035614013672,10.34118938446045,140.98260498046875
2020-07-15,297.9713439941406,94.70723724365234,10.19195556640625,140.32449340820312
2020-07-16,296.9900207519531,93.5418701171875,10.099775314331055,140.99098205566406
2020-07-17,297.8510437011719,93.35291290283203,10.16629695892334,140.69570922851562
2020-07-20,300.2581481933594,95.32022857666016,10.474478721618652,141.04156494140625
2020-07-21,300.89691162109375,94.004638671875,10.292855262756348,141.12588500976562
2020-07-22,302.60968017578125,94.26872253417969,10.402724266052246,141.54769897460938
2020-07-23,298.9989929199219,89.97795867919922,10.094796180725098,143.2012481689453
